Station;Date;Comment;Earthquake;HW/SW_Change;Unknown;Use
21701S007A03;2011-03-11 12:00:00;;1;0;0;1
21702M002A07;2011-03-16 12:00:00;;1;0;0;1
21729S007A04;2011-03-11 12:00:00;;1;0;0;1
21754S001A01;2003-09-26 12:00:00;;1;0;0;1
21754S001A01;2011-03-11 12:00:00;;1;0;0;1
21778S001A01;2003-09-26 12:00:00;;1;0;0;1
21778S001A01;2004-11-28 18:32:14;;1;0;0;1
21778S001A01;2011-03-11 12:00:00;;1;0;0;1
23104M001A01;2004-12-26 00:00:00;;1;0;0;1
23104M001A01;2005-03-29 00:00:00;;1;0;0;1
41705M003A04;2010-02-27 12:00:00;;1;0;0;1
41719M004A02;2010-02-27 12:00:00;;1;0;0;1
41719M004A02;2011-02-12 12:00:00;;1;0;0;1
